0,1,enable remove language code dev center language history example select ru ru ru laguage publish xap store cause tile localization en us(default tile localization bad
1,0,note .csproj file supportedcultures entry like supportedcultures de de;ru;ru ru /supportedcultures remove ru language code publish new xap version old xap version remain store replaced unpublished
2,0,wich mean new version fully replace old version cause problem 1
3,0,user receive old xap version app
4,0,store randomly old xap new xap version app
5,0,app wp7 version wp8 version xap submission
6,0,wp7 xap work wp7 wp8 xap work wp8
7,0,store wrong wp7 xap version app windows phone 8 user
8,1,option remove ru language code app language history option completly replace fully replace prevoius(es xap(s
9,0,currently mistakenly select ru language bad situation forever live wrong tile display russian language store english publish update remove ru language update fully replace old version truble 1
10,0,): store randomly deliver old wrong version xap
11,0,write lot support ticket care issue
12,0,engineering team solve issue follow 1
13,1,provide workaround remove ru language language history need ru culture ru ru way remove ru language history post app ru language support 2
14,1,add implement appreslib.dll.xxxx.mui ru language culture documentation appreslib.dll.xxxx.mui exist ru ru ru culture http://msdn.microsoft.com/en-us/library/windowsphone/develop/ff967550(v=vs.105).aspx thank tom enable remove language code dev center language history example select ru ru ru laguage publish xap store cause tile localization en us(default tile localization bad
15,0,wich mean new version fully replace old version cause
16,0,drive car need 99 time phone use vocal command start bing search instead contact
17,0,press power button unlock device open phone person device start correctly
18,0,drive mode activate
19,0,italian translation read sm device fatto end operation work ho finito
20,0,fatto vocal command unrecognized
21,0,little bug lumia 820 wp8 upgrade work fine vocal command upgrade bad
22,0,recognize command
23,0,old wp7 work fine use bt sony car stereo
24,0,little bug lumia 820 wp8 upgrade work fine vocal command
25,0,outlook color scheme
26,0,setting current live tile size
27,0,open network setting tap setting
28,0,hit power button sleep mode
29,0,wait 15 20 minute switch mobile
30,0,window blank head
31,0,100 reproducible lumia 920 cyan update
32,1,use feature fix asap
33,0,issue sd card wp 8.1 preview
34,1,annoying fix
35,0,work lob field engineering civil structural
36,0,point app universal device engineer spend time learn relearn control
37,0,app run tablet pc 's engineer work field come office continue work datum pc 's
38,0,window 8.1 window phone 8.1 universal app hop adapt app window phone
39,0,save live datum save onedrive allow roam device
40,0,find window phone 8.1 file picker access onedrive futureaccesslist
41,0,aspect prevent adaptation app window phone platform
42,1,allow window phone 8.1 file folder picker access onedrive store location futureaccesslist
43,1,allow onedrive folder store locally like winrt
44,0,real universal app
45,0,save live datum
46,0,far try different app access pre window phone 8.1 photo
47,1,need fix number 1 priority
48,1,nice developer option payment hold reach appropriate threshold option payment reach threshold
49,0,wp8.1 dev preview bug push service
50,0,i__m mobile datum connection notification i__m wifi connection push server
51,0,find workaround turn mobile datum connection manually push wifi work
52,0,wp 8.0 gdr 3 system recognize automaticly wich connection i__m use turn push service automaticly cellular wifi
53,0,everytime work wp 8.1 dev preview doesn__t
54,0,try insert new bank account receive error validation bank account country account
55,0,think correct use paypal receive money country want pay extra cost paypal insert tax plan country different country account
56,1,remove validation validate accord tax plan country account
57,0,post vote change country account
58,0,post vote
59,0,report app purchase today notice line item app version 1.0.0 certainly case
60,0,bing vision lens camera app pinnable start quick access and/or add cortana screen left music search button
61,0,windows phone 8 able directly access facebook people hub
62,0,comment photo write wall enter facebook app
63,0,able switch text message facebook message fly
64,0,windows phone 8.1 app open
65,0,lumia 920 significantly long
66,0,slow
67,1,bring simplicity efficiency windows phone
68,1,build web application notice single page application url http://www.contoso.com/!#/ display blank page refresh load page check
69,1,great add remoteid calendar
70,0,appointment remoteid calendar
71,0,easy sync calendar remoteid like appointment
72,0,application unpublish microsoft reason send email
73,0,email receive like case developer know reason
74,0,easily fix write dev center
75,0,winrt tilebrush class miss tilemode view property present framework like wpf silverlight
76,1,add property support image tiling properly
77,0,ton request past year
78,0,thread example http://social.msdn.microsoft.com/forums/windowsapps/en-us/bb5aa859-e3d1-46f2-a661-d4bdbee9a1f2/windowsuixamlmediaimagebrush?forum=winappswithcsharp
79,1,lockscreen text attribute separate tile attribute
80,0,provide lockscreen text necessary use widebackcontent attribute flip tile
81,0,generate custom tile and/or want tile flip use lockscreen text feature
82,0,try use api contacts namespace windows applicationmodel contact work expect
83,0,windows phone 8.1 ioexception try pickcontactasync
84,0,strange expect contacts app launch problem establish contract
85,0,check contacts permission enable package.appxmanifest
86,0,windows 8.1 rt 8.1 che pickcontactasync work receive wrong datum instaed example firstname lastname firstname lastname importantdates e.g.
87,0,birthday set low value like 05/05/0004 try navigate contact outlook.com contacts people app right value
88,0,maybe miss api break
89,0,windows 8.1 rt 8.1 che pickcontactasync work receive wrong datum instaed example firstname lastname firstname lastname
90,0,possible define custom etw event generate event publicly available tooling currently provide way access event
91,0,windows phone developer power tools enable collection predefin profile use certain system event
92,0,appear way tell collect datum custom event source
93,0,e.g. .net base store app system diagnostic trace eventsource class available use generate custom etw event appear point moment actually record event trace
94,0,clear duplicate http://wpdev.uservoice.com/forums/110705-dev-platform/suggestions/3743880-please-provide-etw-logging-from-a-windows-phone-8 reply thread point log etw event wp8 app
95,1,want ability record alongside system provide etw event code 's activity fit system behaviour
96,0,e.g. .net base store app system diagnostic trace eventsource class available use generate custom etw event appear point moment
97,1,old onedrive integration window phone 8.1
98,0,use sync fast able view picture photo album easily
99,0,app long time load
100,0,happen facebook integration
101,0,use good 7.8
102,0,minimize maximize picture maximize
103,0,purchase window phone smooth integration slowly app os integration
104,0,microsoft provide system event smsreceiv app notify sms receive need event phone phonereveived ...
105,1,good read api phone history developer help good phone related app like android
106,0,mapicon window phone sdk 8.1 able use zindex event tap accessible mapicon
107,1,allow messaging application join default messaging application hub message interaction
108,0,-application use api hub message send view delete etc ... sms -the message hub use api application thing send view delete etc ... message
109,0,mean developper ablity implement application api message hub use
110,1,need windows phone synchronize clock internet
111,0,country work provider service
112,1,include api add remove deactivate tracking protection list tpl drive datum usage enable selective protection rogue site tracking sense control
113,0,like desktop ie
114,1,provide help understand text come cortanan
115,0,thing think like understand date time
116,0,plan new agenda item example nicely
117,0,pivot panorama control option enable disable wrapping
118,0,scroll viewer option disable overscrolling effect
119,0,"program work windowsphone 8.1 livesdk 5.6 bool connect false try var authclient new liveauthclient liveloginresult result await authclient loginasync(new string wl.signin wl.skydrive result status liveconnectsessionstatus connected connected true var connectclient new liveconnectclient(result session var meresult await connectclient getasync(""me dynamic medata meresult result catch liveauthexception ex // display error message"
120,0,catch liveconnectexception ex // display error message
121,0,catch generic exception obtain exception message object reference set istance object row liveloginresult result await authclient loginasync(new string wl.signin wl.skydrive authclient null
122,0,write msdn forum receive reply ...
123,0,catch generic exception obtain exception message object reference set istance object row liveloginresult result
124,0,use recover file
125,0,hoello wp8.1 silverlight xap app force use fast resume
126,0,break app swipe tunes hastilly submit wp8.1 update transparent tile realise later fast resume cause issue secondary tile etc
127,0,fast resume pretty kill app delete wp8.1 xap store look like app able wp store new abandon previous customer
128,1,option wpappmanif file untick fast resume allow wp8.1 app run fast resume mode like wp8
